code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
CLI-10;CL-003;ИП Кузнецов Д.А.;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;30;checklists/client-report.md;Договор;Базовый
REP-KUDIR;CL-003;ИП Кузнецов Д.А.;Актуализация и проверка КУДиР;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;C;45;;Приказ ФНС ЕД-7-3/816;Базовый
REP-STAT;CL-003;ИП Кузнецов Д.А.;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Базовый
TAX-USN-N;CL-003;ИП Кузнецов Д.А.;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Базовый
CLI-30;CL-003;ИП Кузнецов Д.А.;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Базовый
DOC-50;CL-003;ИП Кузнецов Д.А.;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Базовый
TAX-USN-P;CL-003;ИП Кузнецов Д.А.;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Базовый
QC-20;CL-003;ИП Кузнецов Д.А.;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Базовый
DOC-10;CL-010;ООО «Импорт Трейд»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-010;ООО «Импорт Трейд»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;B;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-010;ООО «Импорт Трейд»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-010;ООО «Импорт Трейд»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-20;CL-010;ООО «Импорт Трейд»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-30;CL-010;ООО «Импорт Трейд»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-40;CL-010;ООО «Импорт Трейд»;Учёт ВЭД: валютный контроль, ГТД, курсовые разницы;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-09;2026-10-14;;B;90;checklists/ved.md;ФЗ-173, НК РФ гл. 21;Полный
ACC-50;CL-010;ООО «Импорт Трейд»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;B;60;checklists/close-month.md;Регламент агентства;Полный
NDS-10;CL-010;ООО «Импорт Трейд»;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;B;120;checklists/nds.md;НК РФ гл. 21;Полный
ACC-70;CL-010;ООО «Импорт Трейд»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;B;30;checklists/ens.md;НК РФ ст. 11.3;Полный
REP-NDS;CL-010;ООО «Импорт Трейд»;Декларация по НДС за III квартал 2026;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/nds.md;НК РФ ст. 174;Полный
REP-PRIB;CL-010;ООО «Импорт Трейд»;Декларация по налогу на прибыль за 9 месяцев 2026;Отчётность;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/reporting.md;НК РФ ст. 289;Полный
ACC-60;CL-010;ООО «Импорт Трейд»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-010;ООО «Импорт Трейд»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-010;ООО «Импорт Трейд»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
ACC-90;CL-010;ООО «Импорт Трейд»;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;60;;ПП РФ 1108;Полный
CLI-30;CL-010;ООО «Импорт Трейд»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-010;ООО «Импорт Трейд»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-NDS-P;CL-010;ООО «Импорт Трейд»;Уплата 1/3 НДС за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/nds.md;НК РФ ст. 174 п. 1;Полный
TAX-PRIB-P;CL-010;ООО «Импорт Трейд»;Уплата налога на прибыль за 9 месяцев 2026;Налоги;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 287;Полный
QC-20;CL-010;ООО «Импорт Трейд»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
DOC-10;CL-001;ООО «Северный Ветер»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-001;ООО «Северный Ветер»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;B;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-001;ООО «Северный Ветер»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-001;ООО «Северный Ветер»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-20;CL-001;ООО «Северный Ветер»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-30;CL-001;ООО «Северный Ветер»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-40;CL-001;ООО «Северный Ветер»;Учёт ВЭД: валютный контроль, ГТД, курсовые разницы;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-09;2026-10-14;;B;90;checklists/ved.md;ФЗ-173, НК РФ гл. 21;Полный
ACC-50;CL-001;ООО «Северный Ветер»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;B;60;checklists/close-month.md;Регламент агентства;Полный
NDS-10;CL-001;ООО «Северный Ветер»;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;B;120;checklists/nds.md;НК РФ гл. 21;Полный
ACC-70;CL-001;ООО «Северный Ветер»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;B;30;checklists/ens.md;НК РФ ст. 11.3;Полный
REP-NDS;CL-001;ООО «Северный Ветер»;Декларация по НДС за III квартал 2026;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/nds.md;НК РФ ст. 174;Полный
REP-PRIB;CL-001;ООО «Северный Ветер»;Декларация по налогу на прибыль за 9 месяцев 2026;Отчётность;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/reporting.md;НК РФ ст. 289;Полный
ACC-60;CL-001;ООО «Северный Ветер»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-001;ООО «Северный Ветер»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-001;ООО «Северный Ветер»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
ACC-90;CL-001;ООО «Северный Ветер»;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;60;;ПП РФ 1108;Полный
TAX-PROP-N;CL-001;ООО «Северный Ветер»;Уведомление и уплата авансов по имущественным налогам за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;45;;НК РФ ст. 383, 397, 363;Полный
CLI-30;CL-001;ООО «Северный Ветер»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-001;ООО «Северный Ветер»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-NDS-P;CL-001;ООО «Северный Ветер»;Уплата 1/3 НДС за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/nds.md;НК РФ ст. 174 п. 1;Полный
TAX-PRIB-P;CL-001;ООО «Северный Ветер»;Уплата налога на прибыль за 9 месяцев 2026;Налоги;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 287;Полный
QC-20;CL-001;ООО «Северный Ветер»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
DOC-10;CL-002;ООО «Уютный Дом»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-10;CL-002;ООО «Уютный Дом»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;B;60;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-20;CL-002;ООО «Уютный Дом»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Стандарт
DOC-40;CL-002;ООО «Уютный Дом»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-20;CL-002;ООО «Уютный Дом»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;120;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
ACC-30;CL-002;ООО «Уютный Дом»;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Стандарт
DOC-30;CL-002;ООО «Уютный Дом»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Стандарт
ACC-50;CL-002;ООО «Уютный Дом»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;B;60;checklists/close-month.md;Регламент агентства;Стандарт
ACC-70;CL-002;ООО «Уютный Дом»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;B;30;checklists/ens.md;НК РФ ст. 11.3;Стандарт
ACC-60;CL-002;ООО «Уютный Дом»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Стандарт
CLI-10;CL-002;ООО «Уютный Дом»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;30;checklists/client-report.md;Договор;Стандарт
REP-STAT;CL-002;ООО «Уютный Дом»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Стандарт
ACC-90;CL-002;ООО «Уютный Дом»;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;60;;ПП РФ 1108;Стандарт
TAX-PROP-N;CL-002;ООО «Уютный Дом»;Уведомление и уплата авансов по имущественным налогам за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;45;;НК РФ ст. 383, 397, 363;Стандарт
TAX-USN-N;CL-002;ООО «Уютный Дом»;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Стандарт
CLI-30;CL-002;ООО «Уютный Дом»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Стандарт
DOC-50;CL-002;ООО «Уютный Дом»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Стандарт
TAX-USN-P;CL-002;ООО «Уютный Дом»;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Стандарт
QC-20;CL-002;ООО «Уютный Дом»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Стандарт
