code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
REP-EFS2;CL-010;ООО «Импорт Трейд»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-010;ООО «Импорт Трейд»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-010;ООО «Импорт Трейд»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-010;ООО «Импорт Трейд»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-010;ООО «Импорт Трейд»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-010;ООО «Импорт Трейд»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-001;ООО «Северный Ветер»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;B;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-001;ООО «Северный Ветер»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-001;ООО «Северный Ветер»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-001;ООО «Северный Ветер»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-001;ООО «Северный Ветер»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-001;ООО «Северный Ветер»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-001;ООО «Северный Ветер»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-001;ООО «Северный Ветер»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-001;ООО «Северный Ветер»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-001;ООО «Северный Ветер»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-001;ООО «Северный Ветер»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-001;ООО «Северный Ветер»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-001;ООО «Северный Ветер»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-001;ООО «Северный Ветер»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-001;ООО «Северный Ветер»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-004;ООО «ТехСервис Плюс»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;B;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-004;ООО «ТехСервис Плюс»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-004;ООО «ТехСервис Плюс»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-004;ООО «ТехСервис Плюс»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-004;ООО «ТехСервис Плюс»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-004;ООО «ТехСервис Плюс»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-004;ООО «ТехСервис Плюс»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-004;ООО «ТехСервис Плюс»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-004;ООО «ТехСервис Плюс»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-004;ООО «ТехСервис Плюс»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-004;ООО «ТехСервис Плюс»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-004;ООО «ТехСервис Плюс»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-004;ООО «ТехСервис Плюс»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-004;ООО «ТехСервис Плюс»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-004;ООО «ТехСервис Плюс»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-002;ООО «Уютный Дом»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;B;20;checklists/payroll.md;ТК РФ ст. 91;Стандарт
PAY-20;CL-002;ООО «Уютный Дом»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Стандарт
PAY-30;CL-002;ООО «Уютный Дом»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-NDFL-N2;CL-002;ООО «Уютный Дом»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
TAX-NDFL-P2;CL-002;ООО «Уютный Дом»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SFR-P;CL-002;ООО «Уютный Дом»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Стандарт
PAY-10;CL-002;ООО «Уютный Дом»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Стандарт
REP-6NDFL;CL-002;ООО «Уютный Дом»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Стандарт
REP-RSV;CL-002;ООО «Уютный Дом»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Стандарт
REP-EFS2;CL-002;ООО «Уютный Дом»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Стандарт
HR-30;CL-002;ООО «Уютный Дом»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Стандарт
TAX-NDFL-N1;CL-002;ООО «Уютный Дом»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
HR-20;CL-002;ООО «Уютный Дом»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Стандарт
TAX-NDFL-P1;CL-002;ООО «Уютный Дом»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SV-P;CL-002;ООО «Уютный Дом»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Стандарт
